Position,Data1,Data2
72.8,-0.22872,0.22841
73,-0.22571,0.22554
73.2,-0.22434,0.22406
73.4,-0.22276,0.22258
73.6,-0.22133,0.22118
73.8,-0.21993,0.21968
74,-0.21848,0.21823
74.2,-0.217,0.21678
74.4,-0.21559,0.21533
74.6,-0.21416,0.21389
74.8,-0.21425,0.21372
75,-0.21132,0.21105
75.2,-0.21147,0.2109
75.4,-0.20847,0.20816
75.6,-0.20709,0.20672
75.8,-0.20569,0.20533
76,-0.20429,0.20394
76.2,-0.20285,0.20255
76.4,-0.20147,0.20117
76.6,-0.20012,0.19979
76.8,-0.1988,0.19846
77,-0.19745,0.19712
77.2,-0.1962,0.19577
77.4,-0.19483,0.19441
77.6,-0.19494,0.19426
77.8,-0.19364,0.1929
78,-0.19081,0.19045
78.2,-0.1895,0.18913
78.4,-0.18828,0.18782
78.6,-0.18696,0.18651
78.8,-0.18559,0.18523
79,-0.18434,0.18397
79.2,-0.18305,0.18267
79.4,-0.18185,0.18139
79.6,-0.18061,0.18013
79.8,-0.18085,0.17997
80,-0.17809,0.17767
